external_id,numero,client,chantier,montant_ht,achats,date,facture
CMD001,F-25/09-15487,ABOU HASSAN,Rénovation complète,15800.00,9200.00,2025-09-15,FACT-2025-001
CMD002,F-25/09-15488,LAMBERT FELIX,Installation électrique,8900.00,5100.00,2025-09-18,
CMD003,F-25/09-15489,LAMBERT FELIX,Mise aux normes,12400.00,7300.00,2025-09-20,FACT-2025-002
CMD004,F-25/09-15490,SCIENCES ENVIRONNEMENT,Audit énergétique,5600.00,2800.00,2025-09-22,
CMD005,F-25/09-15491,AKTYA,Raccordement fibre,18500.00,11200.00,2025-09-25,FACT-2025-003
CMD006,F-25/10-15492,DUPONT SARL,Extension bureau,22300.00,13800.00,2025-10-01,
CMD007,F-25/10-15493,MARTIN INDUSTRIE,Câblage industriel,31200.00,19400.00,2025-10-03,
CMD008,F-25/10-15494,TECHNOLOGIES VERTES,Installation panneaux solaires,28900.00,17600.00,2025-10-05,FACT-2025-004
CMD009,F-25/10-15495,BERNARD CONSTRUCTION,Réseaux VDI,14700.00,8900.00,2025-10-08,
CMD010,F-25/10-15496,THOMAS ARCHITECTES,Domotique résidentielle,19800.00,11500.00,2025-10-10,FACT-2025-005
CMD011,F-25/10-15497,PETIT INDUSTRIE,Maintenance préventive,7200.00,3800.00,2025-10-12,
CMD012,F-25/10-15498,ROBERT HOLDING,Mise en conformité,16400.00,9800.00,2025-10-15,
CMD013,F-25/10-15499,RICHARD DÉVELOPPEMENT,Installation bornes recharge,25600.00,15200.00,2025-10-18,FACT-2025-006
CMD014,F-25/10-15500,MOREAU SERVICES,Rénovation tableau électrique,9800.00,5600.00,2025-10-20,
CMD015,F-25/10-15501,SIMON IMMOBILIER,Câblage data center,42300.00,26800.00,2025-10-22,
CMD016,F-25/10-15502,LAURENT FACTORY,Éclairage LED industriel,18900.00,11200.00,2025-10-25,FACT-2025-007
CMD017,F-25/11-15503,MICHEL CONSULTING,Audit installations,6800.00,3200.00,2025-11-01,
CMD018,F-25/11-15504,GARCIA BATIMENT,Installation chauffage,21500.00,13400.00,2025-11-03,
CMD019,F-25/11-15505,DAVID ENTREPRISE,Réseau informatique,15200.00,9100.00,2025-11-05,FACT-2025-008
CMD020,F-25/11-15506,ANDRE TECHNOLOGIES,Sécurité incendie,27800.00,17200.00,2025-11-08,
CMD021,F-25/11-15507,LEROY CONSTRUCTION,Raccordement triphasé,13600.00,8200.00,2025-11-10,
CMD022,F-25/11-15508,FONTAINE INDUSTRIES,Automatisation process,35400.00,22100.00,2025-11-12,FACT-2025-009
CMD023,F-25/11-15509,CHEVALIER SERVICES,Maintenance corrective,8400.00,4700.00,2025-11-15,
CMD024,F-25/11-15510,GIRARD HOLDING,Installation éclairage,11900.00,7100.00,2025-11-18,
CMD025,F-25/11-15511,BLANC IMMOBILIER,Rénovation électrique complète,29700.00,18300.00,2025-11-20,FACT-2025-010
